sentence,brand,sentiment
갤럭시는 두께가 5cm,none,
12시리즈때 폰 바꾸면서 사고 이번에 16프로로 바꾸면서 구매할려고 하는데 벌써 품절이네요,none,
엑시노스에 대한 리스크가 조금 있기는 하지만 믿고 가보려고 합니다,samsung,positive
지금은 갤럭시인데 애플워치맥북 아이패드 에어팟을 가지고있는쿠,none,
왤케 갤럭시는꺼는 고장도 잘나고 돈주고 사기에는 아까운 저급한 품질이라,samsung,negative
아이폰세스가 다른 갤럭시를 사야,none,
엑시노스가 잘 나오면 좋을 듯 해요,samsung,positive
갤럭시샀지,none,
형 고마워 삼성도 해줘서 형 삼성으로 바꾸면 좋겠어,samsung,positive
머리가 갤럭시 샌드스톤 색깔인듯,none,
사전예약이라는걸 처음해봤는데 카메라반사장지 뺴고는 갤럭시에 근접한 플러스가 제일 가성비라고 생각했었는데 일반보다는 화면크기 qhd 배터리 uwb 화면스케일러 이 정도면 플러스가 가성비 아닌가요,samsung,positive
기본형 사이즈에 갤럭시성능은 어렵겠죠,none,
아이폰vs프로맥스도 해주세요,none,
갤럭시쓸때 아6플이 그렇게 이뻐보였음 그 다음엔 갤럭시이랑 아이폰xs중에 둘 다 너무 좋아보여서 고민됐었는데,none,
폰을 하드하게 안써서 그냥 갤럭시 샀는데 갤럭시 노말도 괜찮네요,samsung,positive
아이폰 블랙 쓰고 있는데 블랙 화이트는 동서고금 막론하고 무난무난하고 핑크는 너무 핫핑크라 좀 부담되긴하고 갤럭시마린도 쨍하고 예쁘긴 한데 파란색 자체가 좀 촌스러운 느낌이 드는 색이라 갠적으로 16중에는 틸이 가장 예뻐보이네요,apple,positive
갤럭시 살지말지 고민이엇는데 항상 좋은 영상 고마워요,none,
행님 갤럭시 달사진 cg 넣는답니다,none,
폰 성능 좋은것 원하는 사람들은 이 영상을 보고 갤럭시울트라 아님 내년 갤럭시울트라 구매 고려한 사람들이 많을것 같다는 생각이 드네요,samsung,positive
유령처럼 떠 있는 현상 개심한데 갤럭시는 없나요,apple,negative
갤럭시나 아이폰 비교는 의미가 없어요,none,
갤럭시울트라 역대 써본 폰중 제일 만족 곧 아이폰에도 저반사처리 들어가겠네,samsung,positive
전에 중국산 갤럭시3사 리뷰 이후에 나오는게 없네요,none,
갤럭시fe 75만원대인데 가성비 좋은듯 물론 상품권주고 이런거 때문에 75이지만,samsung,positive
난아이폰16프로 인데 삼성페이 안쓴다 난 지갑 들고 다니고 있다,apple,positive
갤럭시시리즈도 갤럭시 갤럭시정도로 나오면 좋겠습니다,none,
이시점에 15프로맥스 새상품 구매는 어떨까요,apple,positive
드디어 갤럭시,none,
왼쪽이 갤럭시인줄알았는데 대박전이네요,none,
저도 무거워서 플러스나 갤럭시 안쓰는,none,
앱하나 키는데 001초나 0001초나 10배 차이지만 체감은 그냥 둘다 빠르다라고 느낄뿐이지 와 10배나 빨라 라고 느끼지 않는다고 삼성은 휴대폰을 팔지말고 이미지를 팔아야 살아남는 시장임을 깨달아야한다 삼성 이대로 가면 저가폰만 생산하게 될꺼임,samsung,negative
애플 따라잡이 삼성 좀 창피한데,samsung,negative
저도 갤럭시u에서 사전예약 취소하고 갤럭시로 재신청하였습니다,samsung,positive
오히려 삼성이,none,
갤럭시 색상 정말 잘뽑혔네요,samsung,positive
갤럭시가 어떻게 변할지가 궁금해지네요,samsung,positive
정말 요즘 삼성은 왜 이렇게 느긋하지 라는 생각을 지울 수가 없어요,samsung,positive
삼성거는 은근 너그러운 채널,none,
이번엔 갤럭시로 가야겠네요,samsung,positive
갤럭시 쓰는데 바꾸고 싶은건 너무 욕심인가,none,
갤럭시 매니아였는데 슬슬 모서리가 손바닥을 찌르는 통증이 거슬리고 무거워서 손목이 부담스러워서 갤럭시 일반모델을 써봤는데 정말 만족감이 좋았었습니다,samsung,positive
또한 중국제 스마트폰들은 100w 급기야 200w 고속충전을 지원하는데 갤럭시 갤럭시는 65w 초고속 충전 업그레이드 마저도 이뤄지지 않았다,samsung,negative
삼성이 가격을 낮추려면 장착되는 ap칩셋부터 모바일 os까지 국산화 하면 50만원대의 가격으로 출시할만도 하지 않을까요,samsung,neutral
엑시노스 불량품을 다운그레이드라고 속이고 파는거보소 이제 역겹네,samsung,negative
껍데기만 삼성이라서 제품은 잘나옴 삼성전자는 망해감,samsung,negative
뜨끈뜨끈한 갤럭시울라리 유저는 그냥 이번에 2년된김에 24울라리 무지성 예구했습니다,samsung,positive
카메라만 갤럭시급이라도,none,
계속 갤럭시만 쓰는 사람인데 폰 디자인도 항상 마무리 한끗이 부족함,samsung,negative
다음폰은 10년만에 갤럭시로 갈까하는데 아직도 23년쓰면 성능저하 심하게되나요,samsung,negative
점점 삼성이 아이폰을 따라가는듯한 외형이,samsung,negative
그리고 판매량은 이미 화훼이가 단독으로 삼성 넘었던적도잇음,samsung,negative
크기작은 갤럭시 내주라 꼭살게,samsung,positive
갤럭시 플러스 쓰고 있는데 너무 만족스럽네요,samsung,positive
갤럭시는 발매 안 하면 안 되나,samsung,negative
이걸 갤럭시울트라로 보고있다,none,
갤럭시탭s10 플러스 wifi 256gb 와 원플러스 pad 2 wifi 256gb 비교 가능하가요,none,
아이폰은 갤럭시보다 뭔가 부드러운 느낌,apple,positive
삼성 반도체 1도 안들어갔는데 갓태문 오마이갓이다,none,
갤럭시쓰다가 갤럭시u로 넘어왔는데 gps정확도가 향상된 것도 없구 제멋대로라 그 동안 좋아진게 맞나 의아했는데 gps 이슈가 있었군요,samsung,negative
애플도 최근에 바이트애플 마크 없애는 추세라 디자인 차이도 별로 안 나고 갤럭시 예전이랑 비교하면 이미지나 디자인 정말 잘 바뀐 듯,samsung,positive
이번엔 기간이 않되서 25 갤럭시는 못쓸거같지만 내년엔 썰이 맞다면 잠망경 카메라도 쓴다고하고 요즘 중국 제조사들이 애용하는 실리콘카본 베터리 탑재 예상된다고 하더라구여,none,
나도 아이폰 10년 쓰다가 갤럭시울트라 샀는데 개10만족중,samsung,positive
저도 피디님처럼 그당시 갤럭시가 버벅거려서 아이폰으로 바꿨다가 정착한 케이슨데,apple,positive
삼성 이번에 실망이 큽니다,samsung,negative
저도 이번에 갤럭시울트라 구매 했는데 왜 제 폰으로 찍은 저는 그대로 인거죠,none,
삼성특 좋거나 예쁜건 해외에만 팜,samsung,negative
그래서 이제는 갤럭시 사진이 더 감성느낌으로 느껴지는 듯 라고 말하고도 갤럭시로 넘어가지 못하는 사람이면 개추,apple,positive
저도 해외에서 중국폰들 만져봤는데 두께나 화면 퀄리티도 좋고 사진은 삼성보다 더 예쁘게 나오는 느낌도 들더라구요,none,
애플은 재질 대비 가격이 비싸서 정품케이스 쓰기가 꺼려지고 삼성은 디자인이 구려서 정품케이스 쓰기가 꺼려지네,apple,negative
페이스 아이디 때문에 탈모m 넣은 거 같은데 갠적으로 아이폰3 디자인이 저는 더 이뻐보이네요,apple,neutral
아 이건 안드로이드 오토가 아니고 차에 감탄한거 아니냐고,none,
요즘 시대에 it 대기업이면 하드웨어 기깔나고 튼튼하게 누가 못만듦 소프트웨어가 알파이자 오메가고 삼성이 결국 안 되는 게 그걸 못해서니까 그리고 와 요즘 시대에 바로 전작인 워치6까지 동작이 버벅였다는 게 소름이다,samsung,negative
제발 아이폰처럼 작은 갤럭시도 나와줬으면 바로살텐데,samsung,positive
던 갤럭시 쓴적 없어요,none,
갤럭시 나침반고도계gps 문제로 서비스 센타 갔는데 다른 휴대폰도 똑같이 문제가 있네요,samsung,negative
붙이면 교통카드삼성페이 사용가능한가요 맥세이프 케이스 사려고 했는데 안된다는 말이 있어서 궁금하네요,none,
겔럭시가 선녀네 환율이 그렇게나 올랐는데 스냅드래곤 엘리트 8 칩셋 기본형이나 슬림형도 탑재되었는데도 가격 동결,samsung,positive
한국에선 갤럭시가 여러모로 좋긴하죠,samsung,positive
그래서 올해 말이나 내년 초 쯤에 갤럭시와 갤럭시 6개월 롱텀 사용기 및 여름 겨울 사용 후기도 영상으로 한번 다뤄주셨으면 좋을 것 같습니다,none,
삼성아 힘내라,samsung,positive
슬슬 갤럭시을 1020만원대에 살수 있는 시기가 다가온 것인가,samsung,positive
펜으로 멀리서 셀카찍는거 갤럭시만의 핵심기능이었는데 이걸 빼,samsung,negative
삼성 마니 발전했고 인정합니다,samsung,positive
그래서 탭 갤럭시 리뷰 해명은 안하시나요,none,
삼성에서도 작은사이즈로 고스텍 제품이 나오면 너무 좋을거 같네요,samsung,positive
애플이나 삼성이나 갈수록 카메라에 전화기능 있는 제품을 파는 기분이네,apple,negative
어차피 갤럭시는 업무용이라 영상 게임 안 하는데 굳이 왜이렇게 크게 성능 좋은것만 만드냐,samsung,negative
갤럭시 아이폰아니면 아이폰 아이폰,none,
삼성에게 제언한다 ai 투자 당장 멈추고 반도체에 투자해라 삼성이 지금 할일은 ai 투자가 아니라 반도체가 우선이다,samsung,negative
성능도 별 차이 안 남 갤럭시 사시려는 분들은 지금이라도 늦지 않았으니 갤럭시 구매하시길,samsung,positive
3세대는 갤럭시 4세대는 역시 갤럭시 이였죠,samsung,positive
기본형 없는거 아닌거같고 그놈의 갤럭시때문인지 8인치 테블릿은 먼이야기고 어디까지 내려가야 정신을 차릴까,none,
내년에 나올 갤럭시울트라를 살까요,samsung,neutral
갤럭시 진동세기가 약하긴 한데 솔직히 이제는 지멋대로 진동 안 울리기도 하는 아이폰보다는 사용경험이 좋은 것 같아요,samsung,positive
이번 갤럭시 탑재될 칩셋이 아이폰 칩셋을 뛰어넘었다고 하네요,samsung,positive
일전에 올리셨던 영상처럼 5배망원 빼고 해상도를 좀 낮추더라도 6인치 초반대의 갤럭시 아이폰가 나오면 좋겠습니다,none,
갤럭시은 탭 가장자리에 글자를 쓸때글자가 제대로 써지나요,none,
형님은 이제 갤럭시로 가시나요,none,
2024년 후반에 출시된 스마트폰인데 아직도 60hz만 지원하는게 너무 괘씸함 60120 체감 엄청 심한데 멀리 안가고 당장 삼성전자 갤럭시만 하더라도 3040만원대 스마트폰에 90120hz까지 넣어주는데 125만원에 60hz는 말도 안됨,none,
10일째 24 갤럭시 쓰는데 램이 부족한지 한 3번정도 버벅임 있었습니다,samsung,negative
딱 플러스크기에 갤럭시 성능으로 나오면 좋겟다,samsung,positive
지금 아이폰 13시리즈 쓰는데 갤럭시6 존버중 입니다,samsung,positive
주사율차이 엄청크다고 느낀게 60짜리 갤럭시보다 120되는 a시리즈가 훨씬 빠르게 느껴짐,none,
